watch_event_id,threshold_abs_z,watch_time,watch_date,watch_trading_date,watch_z,watch_abs_z,watch_side_if_entered,entered,skip_reason,entry_time,entry_z,entry_abs_z,entry_delay_bars,extreme_time_before_entry,extreme_z_before_entry,extreme_abs_z_before_entry,scan_end_time,reversal_confirm_bars_required,reversal_delta_z_required,enable_entry_time_filter,entry_start_time,last_entry_time
60,3.0,2022-08-30 11:11:00,2022-08-30,2022-08-30,3.089817446861341,3.089817446861341,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,True,,2022-08-30 11:23:00,2.838535182025169,2.838535182025169,12.0,2022-08-30 11:21:00,3.410608458761437,3.410608458761437,2022-08-30 11:23:00,2,0.25,True,09:30,15:15
61,3.0,2022-09-02 13:10:00,2022-09-02,2022-09-02,3.0397110299623913,3.0397110299623913,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,True,,2022-09-02 13:18:00,2.3089984304347886,2.3089984304347886,8.0,2022-09-02 13:16:00,3.445009455496756,3.445009455496756,2022-09-02 13:18:00,2,0.25,True,09:30,15:15
62,3.0,2022-09-06 10:18:00,2022-09-06,2022-09-06,-3.214923282063894,3.214923282063894,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,True,,2022-09-06 10:31:00,-2.8275268897857018,2.8275268897857018,13.0,2022-09-06 10:29:00,-4.484609375245643,4.484609375245643,2022-09-06 10:31:00,2,0.25,True,09:30,15:15
63,3.0,2022-09-07 09:15:00,2022-09-07,2022-09-07,-4.401271615144583,4.401271615144583,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,False,NO_ENTRY_TIME_FILTER,,,,,2022-09-07 09:16:00,-5.80925188834336,5.80925188834336,2022-09-07 09:24:00,2,0.25,True,09:30,15:15
64,3.0,2022-09-08 09:34:00,2022-09-08,2022-09-08,3.0340679888874935,3.0340679888874935,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,True,,2022-09-08 09:36:00,2.757234210765352,2.757234210765352,2.0,2022-09-08 09:34:00,3.0340679888874935,3.0340679888874935,2022-09-08 09:36:00,2,0.25,True,09:30,15:15
65,3.0,2022-09-09 09:15:00,2022-09-09,2022-09-09,4.561236755739228,4.561236755739228,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,False,NO_ENTRY_TIME_FILTER,,,,,2022-09-09 09:15:00,4.561236755739228,4.561236755739228,2022-09-09 09:17:00,2,0.25,True,09:30,15:15
66,3.0,2022-09-09 09:18:00,2022-09-09,2022-09-09,3.504532422282862,3.504532422282862,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,False,NO_ENTRY_TIME_FILTER,,,,,2022-09-09 09:19:00,3.5234473025487993,3.5234473025487993,2022-09-09 09:27:00,2,0.25,True,09:30,15:15
67,3.0,2022-09-12 09:15:00,2022-09-12,2022-09-12,3.540828304103092,3.540828304103092,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,False,NO_ENTRY_TIME_FILTER,,,,,2022-09-12 09:18:00,4.396123615342714,4.396123615342714,2022-09-12 09:20:00,2,0.25,True,09:30,15:15
68,3.0,2022-09-12 09:54:00,2022-09-12,2022-09-12,3.004550868548698,3.004550868548698,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,True,,2022-09-12 09:57:00,2.518930854548098,2.518930854548098,3.0,2022-09-12 09:55:00,3.5525518650844767,3.5525518650844767,2022-09-12 09:57:00,2,0.25,True,09:30,15:15
69,3.0,2022-09-14 09:15:00,2022-09-14,2022-09-14,-8.238881360181814,8.238881360181814,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,False,NO_ENTRY_TIME_FILTER,,,,,2022-09-14 09:15:00,-8.238881360181814,8.238881360181814,2022-09-14 09:17:00,2,0.25,True,09:30,15:15
70,3.0,2022-09-16 09:16:00,2022-09-16,2022-09-16,-3.774485525794267,3.774485525794267,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,False,NO_ENTRY_TIME_FILTER,,,,,2022-09-16 09:16:00,-3.774485525794267,3.774485525794267,2022-09-16 09:18:00,2,0.25,True,09:30,15:15
71,3.0,2022-09-16 09:20:00,2022-09-16,2022-09-16,-3.1164730891113654,3.1164730891113654,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,False,NO_ENTRY_TIME_FILTER,,,,,2022-09-16 09:20:00,-3.1164730891113654,3.1164730891113654,2022-09-16 09:22:00,2,0.25,True,09:30,15:15
72,3.0,2022-09-16 09:24:00,2022-09-16,2022-09-16,-3.448565394353305,3.448565394353305,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,False,NO_ENTRY_TIME_FILTER,,,,,2022-09-16 09:25:00,-3.5058781765960774,3.5058781765960774,2022-09-16 09:27:00,2,0.25,True,09:30,15:15
73,3.0,2022-09-16 09:28:00,2022-09-16,2022-09-16,-3.314960319702147,3.314960319702147,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,True,,2022-09-16 09:42:00,-3.052354389326491,3.052354389326491,14.0,2022-09-16 09:38:00,-3.5214112319996267,3.5214112319996267,2022-09-16 09:42:00,2,0.25,True,09:30,15:15
74,3.0,2022-09-19 09:15:00,2022-09-19,2022-09-19,-3.5343489430093573,3.5343489430093573,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,False,NO_ENTRY_TIME_FILTER,,,,,2022-09-19 09:15:00,-3.5343489430093573,3.5343489430093573,2022-09-19 09:17:00,2,0.25,True,09:30,15:15
75,3.0,2022-09-19 09:23:00,2022-09-19,2022-09-19,-4.401094711201372,4.401094711201372,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,False,NO_ENTRY_TIME_FILTER,,,,,2022-09-19 09:23:00,-4.401094711201372,4.401094711201372,2022-09-19 09:25:00,2,0.25,True,09:30,15:15
